session_ts,restored,step,sim_time_sec,pos_x,pos_y,pos_z,yaw,body_vx,body_wz,lift_z,target_v,target_yaw,target_lift,phase
2026-02-23 12:20:40,0,980,0.979,-4.04938e-05,3.39566e-19,0.499661,-6.05706e-19,0.000113312,3.80823e-18,-0.0898111,-0,-0,0.0048,1
2026-02-23 12:20:40,0,990,0.989,-3.93401e-05,3.31877e-19,0.499661,-5.76631e-19,0.000114834,1.76695e-18,-0.0898069,-0,-0,0.0068,1
2026-02-23 12:20:40,0,1000,0.999,-3.82336e-05,3.22661e-19,0.499661,-5.52037e-19,0.00010403,2.60635e-18,-0.0898033,-0,-0,0.0088,1
2026-02-23 12:20:40,0,1010,1.009,-3.72636e-05,3.16431e-19,0.499661,-5.05637e-19,8.79341e-05,5.60698e-18,-0.0898003,-0,-0,0.0108,1
2026-02-23 12:20:40,0,1020,1.019,-3.6461e-05,3.13529e-19,0.499661,-4.59092e-19,7.10306e-05,3.45793e-18,-0.089798,-0,-0,0.0128,1
2026-02-23 12:20:40,0,1030,1.029,-3.58214e-05,3.15994e-19,0.499661,-4.60795e-19,5.57736e-05,4.56551e-20,-0.089796,-0,-0,0.0148,1
2026-02-23 12:20:40,0,1040,1.039,-3.53226e-05,3.18688e-19,0.499661,-4.46995e-19,4.32125e-05,3.13825e-18,-0.0897944,-0,-0,0.0168,1
2026-02-23 12:20:40,0,1050,1.049,-3.49364e-05,3.23289e-19,0.499661,-4.26604e-19,3.35322e-05,2.38523e-18,-0.0897931,-0,-0,0.0188,1
2026-02-23 12:20:40,0,1060,1.059,-3.4635e-05,3.24817e-19,0.49966,-3.94322e-19,2.64551e-05,2.8554e-18,-0.0897919,-0,-0,0.0208,1
2026-02-23 12:20:40,0,1070,1.069,-3.43942e-05,3.15712e-19,0.49966,-3.68355e-19,2.15108e-05,2.30767e-18,-0.0897909,-0,-0,0.0228,1
2026-02-23 12:20:40,0,1080,1.079,-3.41952e-05,3.0293e-19,0.49966,-3.54132e-19,1.81968e-05,1.10236e-18,-0.08979,-0,-0,0.0248,1
2026-02-23 12:20:40,0,1090,1.089,-3.40237e-05,2.9957e-19,0.49966,-3.26415e-19,1.60621e-05,5.52775e-19,-0.0897891,-0,-0,0.0268,1
2026-02-23 12:20:40,0,1100,1.099,-3.38696e-05,2.91594e-19,0.49966,-3.21237e-19,1.47411e-05,-1.04543e-18,-0.0897883,-0,-0,0.0288,1
2026-02-23 12:20:40,0,1110,1.109,-3.3726e-05,2.82913e-19,0.49966,-3.20543e-19,1.39729e-05,9.71576e-19,-0.0897875,-0,-0,0.0308,1
